country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Niger,0,0,0,0,0,0,0,0,7020000,7100000,16100000,14800000,14000000,45600000,56800000,78300000,106000000,122000000,94600000,84600000,84900000,73400000,61300000,51800000,61000000,52100000,52600000,60700000,76100000,81100000,86200000,92600000,119000000,145000000,150000000,141000000,40700000,55000000,65200000,155000000,158000000,153000000,164000000,173000000,202000000,237000000,239000000,287000000
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216000000,205000000,198000000,214000000,234000000,244000000,225000000,236000000,248000000,242000000,2630000000,2580000000,2570000000,2570000000,2580000000,2430000000,2320000000,2250000000,2390000000
Pakistan,45400000,46200000,120000000,157000000,292000000,438000000,553000000,606000000,642000000,573000000,674000000,1020000000,1420000000,1610000000,1440000000,1460000000,1190000000,922000000,554000000,933000000,835000000,1070000000,1130000000,1120000000,1560000000,1610000000,1400000000,1280000000,1360000000,1940000000,1750000000,2020000000,2260000000,2360000000,2140000000,1740000000,1720000000,1650000000,4610000000,9040000000,10300000000,9960000000,7680000000,5110000000,5000000000,6360000000,7230000000,7660000000
Papua New Guinea,0,0,0,0,0,0,28800000,30000000,30000000,23900000,30900000,75100000,71200000,67600000,33900000,28900000,15100000,12000000,6120000,3040000,61000000,61300000,58900000,44100000,15600000,49600000,50800000,47700000,45500000,34300000,51100000,119000000,129000000,135000000,78700000,13300000,14000000,14700000,14300000,197000000,193000000,193000000,193000000,193000000,182000000,174000000,169000000,179000000
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18800000,17800000,17200000,18600000,20400000,21300000,19600000,20600000,21600000,21100000,149000000,147000000,146000000,146000000,147000000,138000000,132000000,128000000,136000000
Peru,9900000,3550000,33400000,16500000,0,0,184000000,205000000,334000000,492000000,474000000,387000000,650000000,698000000,675000000,702000000,728000000,845000000,801000000,758000000,755000000,706000000,631000000,883000000,938000000,955000000,924000000,1010000000,905000000,860000000,677000000,502000000,361000000,275000000,246000000,188000000,158000000,144000000,141000000,956000000,939000000,936000000,937000000,939000000,884000000,845000000,820000000,869000000
Philippines,68800000,97400000,103000000,92000000,83000000,193000000,404000000,528000000,658000000,813000000,1040000000,1130000000,999000000,1090000000,885000000,1170000000,1270000000,1260000000,1090000000,1180000000,912000000,1090000000,1100000000,1210000000,1060000000,728000000,405000000,855000000,1570000000,1980000000,2180000000,2100000000,1840000000,1370000000,937000000,555000000,175000000,184000000,180000000,1310000000,1290000000,1290000000,1290000000,1290000000,1210000000,1160000000,1130000000,1190000000
Romania,0,0,0,57300000,58200000,102000000,276000000,328000000,333000000,325000000,328000000,590000000,862000000,947000000,937000000,660000000,714000000,507000000,144000000,0,0,809000000,1030000000,1030000000,1320000000,1040000000,651000000,641000000,539000000,562000000,552000000,483000000,531000000,708000000,561000000,369000000,218000000,120000000,117000000,11100000000,16600000000,17700000000,15700000000,9540000000,3350000000,1500000000,1320000000,1400000000
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989000000,2470000000,4200000000,9620000000,12500000000,13200000000,19300000000,23000000000,19000000000,14600000000,14200000000,13500000000,12400000000,8110000000,8530000000,8960000000,8740000000,8890000000,8730000000,8710000000,8720000000,8730000000,8220000000,7860000000,7620000000,8080000000
Rwanda,2930000,0,0,0,0,0,0,0,0,7580000,13500000,12400000,11800000,11200000,10500000,10000000,8590000,6950000,3730000,853000,101000,12500000,12000000,12000000,12800000,26300000,24200000,40400000,56400000,94700000,104000000,102000000,104000000,112000000,114000000,96600000,24900000,29800000,32500000,136000000,133000000,132000000,131000000,130000000,119000000,112000000,203000000,291000000
Samoa,0,0,0,0,0,1480000,2200000,2260000,4580000,6290000,5780000,7480000,6340000,7880000,9760000,10900000,10100000,8220000,3830000,1610000,835000,226000,0,0,0,0,0,0,0,1570000,1490000,1440000,1550000,1700000,1770000,1630000,1720000,1800000,1760000,26500000,26000000,25900000,26000000,34900000,32900000,29800000,27400000,27400000
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,1140000,1140000,1100000,1100000,1050000,832000,575000,324000,114000,852000,3290000,3170000,3430000,3750000,3920000,4070000,4990000,3550000,4760000,15600000,15900000,15800000,16400000,17000000,14900000,14200000,14700000,16800000
Senegal,0,0,0,0,0,29800000,29500000,30900000,74300000,92900000,140000000,186000000,221000000,231000000,230000000,268000000,289000000,343000000,318000000,316000000,314000000,327000000,271000000,244000000,300000000,347000000,326000000,292000000,293000000,306000000,286000000,279000000,286000000,276000000,242000000,183000000,62900000,66000000,102000000,409000000,451000000,447000000,442000000,438000000,395000000,344000000,299000000,283000000
Serbia,0,72500000,90700000,26200000,170000000,182000000,370000000,258000000,238000000,456000000,760000000,1250000000,1750000000,2070000000,1950000000,2110000000,2070000000,1850000000,1310000000,686000000,467000000,307000000,196000000,78000000,83000000,84500000,80600000,75600000,78900000,154000000,226000000,344000000,644000000,1000000000,1050000000,947000000,85200000,89500000,87300000,2300000000,2720000000,2780000000,2520000000,1650000000,830000000,633000000,598000000,634000000
Sierra Leone,0,0,0,0,5290000,5780000,26000000,39000000,46400000,57600000,59300000,84000000,78200000,92900000,95500000,101000000,101000000,116000000,109000000,105000000,108000000,101000000,92100000,83800000,146000000,165000000,171000000,167000000,191000000,219000000,196000000,174000000,193000000,195000000,223000000,217000000,61000000,64100000,80000000,229000000,266000000,274000000,274000000,281000000,303000000,391000000,444000000,509000000
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,900000,2700000,3500000,3100000,3030000,3460000,2200000,1680000,1440000,667000,0,0,0,0,0,0,0,0,898000,853000,822000,890000,972000,1020000,935000,984000,1030000,1010000,15500000,24900000,34400000,34600000,34900000,31800000,27700000,23600000,21000000
Somalia,0,0,0,0,0,0,0,0,182000,184000,17800000,46500000,79700000,123000000,112000000,154000000,156000000,175000000,166000000,150000000,159000000,160000000,154000000,154000000,164000000,166000000,161000000,151000000,158000000,173000000,164000000,158000000,171000000,187000000,195000000,180000000,189000000,199000000,194000000,248000000,244000000,243000000,243000000,243000000,229000000,219000000,212000000,225000000
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844000000,897000000,913000000,884000000,415000000,0,302000000,287000000,277000000,300000000,327000000,342000000,315000000,332000000,348000000,339000000,2800000000,2750000000,2740000000,2740000000,2750000000,2590000000,2470000000,2400000000,2540000000
Sri Lanka,78500000,77700000,81000000,89400000,125000000,146000000,156000000,206000000,295000000,402000000,391000000,515000000,482000000,445000000,405000000,397000000,347000000,277000000,359000000,366000000,410000000,401000000,464000000,516000000,617000000,595000000,531000000,433000000,367000000,355000000,253000000,303000000,406000000,499000000,404000000,483000000,351000000,363000000,278000000,1340000000,1920000000,2330000000,3120000000,2660000000,1820000000,1240000000,1090000000,1330000000
St. Kitts and Nevis,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290000,2230000,2120000,2040000,1110000,0,0,0,0,0,0,3490000,3430000,,,,,,,
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020000,966000,932000,1010000,1100000,1150000,1060000,1120000,1170000,1140000,33600000,33000000,41200000,41200000,41300000,38000000,33400000,29800000,28500000
St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,300000,1800000,1600000,1570000,990000,330000,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,461000,444000,481000,525000,549000,505000,532000,559000,545000,18300000,17900000,23000000,23000000,23000000,27200000,24900000,22900000,21900000
Sudan,30900000,16500000,30500000,35000000,87700000,133000000,138000000,121000000,197000000,293000000,431000000,564000000,579000000,698000000,664000000,739000000,823000000,954000000,905000000,884000000,956000000,961000000,923000000,923000000,980000000,960000000,893000000,797000000,772000000,786000000,693000000,617000000,644000000,676000000,674000000,593000000,596000000,565000000,486000000,682000000,664000000,651000000,645000000,639000000,591000000,557000000,531000000,555000000
Syria,9500000,5160000,24600000,21600000,6580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50200000,47600000,46000000,49700000,54300000,56800000,52300000,55000000,57800000,56300000,438000000,430000000,429000000,429000000,430000000,404000000,387000000,375000000,398000000
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600000,30400000,99000000,213000000,218000000,213000000,206000000,222000000,250000000,244000000,168000000,176000000,142000000,170000000,227000000,246000000,287000000,287000000,266000000,244000000,217000000,204000000
Tanzania,0,0,0,0,47600000,73300000,97200000,111000000,106000000,152000000,171000000,146000000,126000000,92200000,59000000,57800000,71200000,113000000,141000000,129000000,140000000,143000000,221000000,215000000,212000000,197000000,206000000,246000000,268000000,355000000,364000000,380000000,442000000,484000000,472000000,387000000,59800000,67300000,65600000,628000000,647000000,643000000,641000000,753000000,682000000,592000000,515000000,459000000
Thailand,0,0,0,0,0,0,77800000,98800000,249000000,366000000,348000000,858000000,846000000,1040000000,903000000,1120000000,1070000000,972000000,662000000,273000000,720000,0,0,0,0,0,0,2430000000,3240000000,3550000000,3170000000,1790000000,506000000,126000000,131000000,121000000,127000000,134000000,130000000,1520000000,1490000000,1490000000,1490000000,1490000000,1410000000,1340000000,1300000000,1380000000
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900000,11900000,11200000,10700000,10400000,11000000
Togo,0,0,0,0,0,0,8710000,9110000,8100000,14200000,32500000,38200000,36200000,54400000,62200000,74200000,90300000,85300000,77900000,75400000,87000000,79100000,76700000,68500000,81800000,105000000,89900000,87600000,94800000,98000000,83800000,70700000,66600000,58300000,44000000,29700000,24700000,19100000,65000000,201000000,241000000,254000000,254000000,253000000,227000000,201000000,171000000,226000000
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9030000,8570000,8270000,8950000,9780000,10200000,9410000,9900000,10400000,10100000,10300000,10100000,10100000,10100000,10100000,9530000,9120000,8850000,9370000
Tunisia,13300000,2780000,0,0,0,0,0,29100000,31300000,31600000,0,0,0,0,0,0,183000000,271000000,277000000,270000000,176000000,258000000,290000000,285000000,303000000,293000000,237000000,173000000,129000000,123000000,76800000,43000000,46600000,50900000,53200000,48900000,51500000,54100000,52700000,428000000,420000000,419000000,419000000,572000000,1540000000,1770000000,1990000000,2110000000
Turkey,74100000,67400000,0,0,0,243000000,391000000,409000000,622000000,633000000,1050000000,1320000000,1460000000,1570000000,1430000000,1330000000,1090000000,770000000,299000000,47600000,0,0,0,0,344000000,685000000,662000000,594000000,388000000,1040000000,4320000000,14300000000,22200000000,24300000000,21700000000,14800000000,10900000000,7340000000,8700000000,9640000000,7280000000,4520000000,2510000000,1650000000,1550000000,1480000000,1440000000,1530000000
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95800000,91000000,87700000,94900000,104000000,108000000,99800000,105000000,110000000,108000000,109000000,108000000,107000000,107000000,108000000,101000000,96700000,93900000,99400000
Uganda,0,10800000,10800000,12100000,18300000,28200000,38000000,39700000,38000000,34500000,89400000,212000000,293000000,377000000,337000000,305000000,249000000,273000000,252000000,225000000,282000000,330000000,344000000,334000000,383000000,417000000,417000000,394000000,398000000,412000000,354000000,312000000,297000000,280000000,237000000,173000000,53200000,55900000,54500000,281000000,275000000,273000000,272000000,270000000,252000000,240000000,233000000,246000000
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364000000,1540000000,2260000000,2400000000,2800000000,4600000000,3780000000,3560000000,3660000000,3780000000,3640000000,3060000000,2800000000,2500000000,6730000000,13000000000,16300000000,16200000000,12800000000,7190000000,7610000000,12500000000,13100000000,14000000000
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157000000,238000000,223000000,233000000,562000000,469000000,409000000,419000000,434000000,427000000,376000000,395000000,415000000,405000000,412000000,405000000,403000000,404000000,405000000,381000000,364000000,353000000,374000000
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22300000,21200000,20400000,22100000,24200000,25300000,23200000,24500000,25700000,25100000,25500000,25100000,25000000,25000000,25100000,23600000,46100000,44700000,47400000
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998000000,3010000000,3250000000,2950000000,2680000000,2640000000,2240000000,2200000000,1620000000,1230000000,1180000000,616000000,398000000,431000000,471000000,492000000,453000000,477000000,501000000,488000000,3990000000,3920000000,3900000000,3910000000,3920000000,3680000000,3520000000,3420000000,3620000000
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000000,126000000,120000000,108000000,112000000,102000000,98400000,99600000,282000000,377000000,539000000,452000000,391000000,420000000,378000000,426000000,446000000,409000000,351000000,272000000,252000000,239000000,195000000,578000000,529000000,496000000,484000000,485000000,456000000,436000000,423000000,448000000
Yemen,0,0,0,0,11400000,27700000,42700000,48300000,57100000,51400000,48400000,37400000,49100000,55000000,49200000,47700000,32300000,14800000,5700000,1300000,156000,0,0,0,0,0,121000000,250000000,336000000,448000000,355000000,410000000,425000000,444000000,421000000,333000000,289000000,215000000,140000000,417000000,436000000,410000000,504000000,505000000,546000000,522000000,497000000,508000000
Zambia,0,20600000,41200000,68700000,69800000,88900000,111000000,116000000,318000000,452000000,447000000,780000000,682000000,710000000,739000000,801000000,858000000,991000000,940000000,900000000,949000000,918000000,846000000,777000000,805000000,1240000000,1200000000,1140000000,1190000000,1270000000,1230000000,1070000000,1110000000,960000000,996000000,689000000,144000000,195000000,201000000,1080000000,1120000000,1140000000,1130000000,1110000000,1010000000,907000000,813000000,794000000
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,43600000,41400000,200000000,256000000,264000000,234000000,156000000,70200000,29200000,6890000,0,216000000,282000000,376000000,461000000,437000000,385000000,407000000,383000000,294000000,275000000,294000000,317000000,309000000,125000000,128000000,134000000,129000000,542000000,529000000,527000000,520000000,519000000,487000000,464000000,455000000,482000000
